Cacheblock,op_pair_count,temperature
7f71f4016ec0,9,Warm (3-10 pairs)
7f71f4016f00,19,Hot (11+ pairs)
7f71f4016f40,86,Hot (11+ pairs)
7f71f4016f80,5,Warm (3-10 pairs)
7f71f4016fc0,15,Hot (11+ pairs)
7f71f4017000,12,Hot (11+ pairs)
7f71f4017080,1,Cold (1-2 pairs)
7f71f40170c0,11,Hot (11+ pairs)
7f71f4017100,1,Cold (1-2 pairs)
7f71f4017140,6,Warm (3-10 pairs)
7f71f4017180,3,Warm (3-10 pairs)
7f71f4017240,5,Warm (3-10 pairs)
7f71f4017280,3,Warm (3-10 pairs)
7f71f40172c0,4,Warm (3-10 pairs)
7f71f4017340,2,Cold (1-2 pairs)
7f71f4017380,9,Warm (3-10 pairs)
7f71f40173c0,14,Hot (11+ pairs)
7f71f4017840,2,Cold (1-2 pairs)
7f71f4017980,1,Cold (1-2 pairs)
7f71f40179c0,7,Warm (3-10 pairs)
7f71f4017a40,1,Cold (1-2 pairs)
7f71f4017a80,2,Cold (1-2 pairs)
7f71f40188c0,6,Warm (3-10 pairs)
7f71f4018940,1,Cold (1-2 pairs)
7f71f40189c0,1,Cold (1-2 pairs)
7f71f4018a00,1,Cold (1-2 pairs)
7f71f4018a40,1,Cold (1-2 pairs)
7f71f4018ac0,1,Cold (1-2 pairs)
7f71f4018c00,1,Cold (1-2 pairs)
7f71f4018d80,1,Cold (1-2 pairs)
7f71f4018dc0,1,Cold (1-2 pairs)
7f71f4018f00,1,Cold (1-2 pairs)
7f71f4018f80,1,Cold (1-2 pairs)
7f71f4019400,1,Cold (1-2 pairs)
7f71f4019440,1,Cold (1-2 pairs)
7f71f40194c0,3,Warm (3-10 pairs)
7f71f4019500,7,Warm (3-10 pairs)
7f71f4019540,3,Warm (3-10 pairs)
7f71f4019580,7,Warm (3-10 pairs)
7f71f40195c0,2,Cold (1-2 pairs)
7f71f4019680,2,Cold (1-2 pairs)
7f71f40196c0,1,Cold (1-2 pairs)
7f71f40197c0,1,Cold (1-2 pairs)
7f71f4019880,5,Warm (3-10 pairs)
7f71f4019a40,1,Cold (1-2 pairs)
7f71f4019b00,1,Cold (1-2 pairs)
7f71f4019d40,1,Cold (1-2 pairs)
7f71f401a0c0,1,Cold (1-2 pairs)
7f71f401a400,1,Cold (1-2 pairs)
7f71f401a500,5,Warm (3-10 pairs)
7f71f401a540,1,Cold (1-2 pairs)
7f71f401a780,1,Cold (1-2 pairs)
7f71f401e740,1,Cold (1-2 pairs)
7f71f401e780,6,Warm (3-10 pairs)
7f71f401e7c0,1,Cold (1-2 pairs)
7f71f401e880,1,Cold (1-2 pairs)
7f71f401ee40,2,Cold (1-2 pairs)
7f71f401ef80,2,Cold (1-2 pairs)
7f71f401f600,1,Cold (1-2 pairs)
