Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:52:15 2025

Initialized Ramulator. 
Micro-op 1: 7f74cf6a2034	Micro-op 2: 7f74cf6a2034
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686fef
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf687048
Micro-op 1: 7f74cf6a2030	Micro-op 2: 7f74cf686b56
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686b77
Micro-op 1: 7f74cf686bae	Micro-op 2: 7f74cf686bae
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf686bb2
Micro-op 1: 7f74cf686bc8	Micro-op 2: 7f74cf686bc9
Micro-op 1: 7f74cf686bcb	Micro-op 2: 7f74cf686bcd
Micro-op 1: 7f74cf686bcf	Micro-op 2: 7f74cf686bd1
Micro-op 1: 7f74cf6a2030	Micro-op 2: 7f74cf69bf9a
Micro-op 1: 7f74cf6a2034	Micro-op 2: 7f74cf69bf9f
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf69bfb6
Micro-op 1: 7f74cf69bfae	Micro-op 2: 7f74cf69bfc8
Micro-op 1: 7f74cf69bfc9	Micro-op 2: 7f74cf69bfca
Micro-op 1: 7f74cf69bfcc	Micro-op 2: 7f74cf69bfce
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf69bfd0
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf69bfd2
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf671df6
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf671dfb
Micro-op 1: 7f74c6e3700e	Micro-op 2: 7f74c6e37012
Micro-op 1: 7f74c6e36d84	Micro-op 2: 7f74c6e36b0f
Micro-op 1: 7f74cf671e0d	Micro-op 2: 7f74c6eaaaa3
Micro-op 1: 7f74c6e36e2e	Micro-op 2: 7f74c6e36e52
Micro-op 1: 7f74c6e36e63	Micro-op 2: 7f74c6e36e64
Micro-op 1: 7f74c6e36e66	Micro-op 2: 7f74c6e36e68
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e36e6c
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e36e6d
Micro-op 1: 7f74cf728736	Micro-op 2: 7f74cf728745
Micro-op 1: 7f74c6e3686c	Micro-op 2: 7f74c6e36888
Micro-op 1: 7f74c6e26f7c	Micro-op 2: 7f74c6e368a8
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e368a9
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e368aa
Micro-op 1: 7f74c6e25f0b	Micro-op 2: 7f74c6e25f0b
Micro-op 1: 7f74cf68703c	Micro-op 2: 7f74c6e25ad6
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74c6e25af6
Micro-op 1: 7f74c6e25aee	Micro-op 2: 7f74c6e25b05
Micro-op 1: 7f74c6870922	Micro-op 2: 7f74c6870922
Micro-op 1: 7f74c6fca231	Micro-op 2: 7f74c6e25aee
Micro-op 1: 7f74cf6868be	Micro-op 2: 7f74c687093c
Micro-op 1: 7f74c687097e	Micro-op 2: 7f74c687099a
Micro-op 1: 7f74c68709a8	Micro-op 2: 7f74c68709a8
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74c686fc67
Micro-op 1: 7f74cf6868be	Micro-op 2: 7f74c686fca9
Micro-op 1: 7f74c6870953	Micro-op 2: 7f74c686fcac
Micro-op 1: 7f74c686fd95	Micro-op 2: 7f74c686fd95
Micro-op 1: 7f74c6e25abc	Micro-op 2: 7f74c6e25bcb
Micro-op 1: 7f74c6e25bd1	Micro-op 2: 7f74c6e25bd1
Micro-op 1: 7f74c6e25abf	Micro-op 2: 7f74c6e25bdd
Micro-op 1: 7f74c6e25bf2	Micro-op 2: 7f74c6e25bf2
Micro-op 1: 7f74cf68703c	Micro-op 2: 7f74c6e25c01
Micro-op 1: 7f74c6e25be4	Micro-op 2: 7f74c6e25be4
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c686fd4f
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74c686fd52
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74c686fd56
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74c686fd58
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74c68709c4
Micro-op 1: 7f74cf6868be	Micro-op 2: 7f74c6870a20
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74c68709e5
Micro-op 1: 7f74c6e266a3	Micro-op 2: 7f74c68709f4
Micro-op 1: 7f74c6e266a3	Micro-op 2: 7f74c68709f7
Micro-op 1: 7f74c6e266a3	Micro-op 2: 7f74c68709f9
Micro-op 1: 7f74c6e266a3	Micro-op 2: 7f74c68709fd
Micro-op 1: 7f74c6e26680	Micro-op 2: 7f74c6e26680
Micro-op 1: 7f74c6e26f74	Micro-op 2: 7f74c6e2668a
Micro-op 1: 7f74cf68692a	Micro-op 2: 7f74c6e266a3
Micro-op 1: 7f74cf671e0d	Micro-op 2: 7f74c6e26289
Micro-op 1: 7f74cf671e0d	Micro-op 2: 7f74c6e2628c
Micro-op 1: 7f74c6e26f7c	Micro-op 2: 7f74c6e26290
Micro-op 1: 7f74c6e26f7c	Micro-op 2: 7f74c6e26293
Micro-op 1: 7f74c6e26f7c	Micro-op 2: 7f74c6e368ed
Micro-op 1: 7f74c6e26f7c	Micro-op 2: 7f74c6e368f0
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e368f2
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e368f3
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74c6e1d37e
