Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:48:18 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea651698	Micro-op 2: 7f34ea652828
Micro-op 1: 7f34ea651e08	Micro-op 2: 7f34ea651e08
Micro-op 1: 7f34ea651df4	Micro-op 2: 7f34ea651df4
Micro-op 1: 7f34ea65271e	Micro-op 2: 7f34ea65271e
Micro-op 1: 7f34ea652725	Micro-op 2: 7f34ea652725
Micro-op 1: 7f34ea65272e	Micro-op 2: 7f34ea65272e
Micro-op 1: 7f34ea651e36	Micro-op 2: 7f34ea651e36
Micro-op 1: 7f34ea6527ab	Micro-op 2: 7f34ea6527cf
Micro-op 1: 7f34ea6527bf	Micro-op 2: 7f34ea6527d6
Micro-op 1: 7f34ea6527af	Micro-op 2: 7f34ea6527af
Micro-op 1: 7f34ea6527b6	Micro-op 2: 7f34ea6527b6
Micro-op 1: 7f34ea6527e6	Micro-op 2: 7f34ea6527e6
Micro-op 1: 7f34ea6527ab	Micro-op 2: 7f34ea6527ab
Micro-op 1: 7f34ea6527bf	Micro-op 2: 7f34ea6527bf
Micro-op 1: 7f34ea6527bf	Micro-op 2: 7f34ea6527bf
Micro-op 1: 7f34ea6527e6	Micro-op 2: 7f34ea6527e6
Micro-op 1: 7f34ea6527f0	Micro-op 2: 7f34ea6527f0
Micro-op 1: 7f34ea652808	Micro-op 2: 7f34ea652808
Micro-op 1: 7f34ea65278a	Micro-op 2: 7f34ea65278a
Micro-op 1: 7f34ea65278d	Micro-op 2: 7f34ea65278d
Micro-op 1: 7f34ea652799	Micro-op 2: 7f34ea652799
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea6525cd
Micro-op 1: 7f34ea6525db	Micro-op 2: 7f34ea6525e6
Micro-op 1: 7f34ea652654	Micro-op 2: 7f34ea652661
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea652670
Micro-op 1: 7f34ea652667	Micro-op 2: 7f34ea65268e
Micro-op 1: 7f34ea652700	Micro-op 2: 7f34ea652700
Micro-op 1: 7f34ea652700	Micro-op 2: 7f34ea652707
Micro-op 1: 7f34ea652603	Micro-op 2: 7f34ea6525db
Micro-op 1: 7f34ea6525fb	Micro-op 2: 7f34ea6525fb
Micro-op 1: 7f34ea652603	Micro-op 2: 7f34ea652603
Micro-op 1: 7f34ea652654	Micro-op 2: 7f34ea652667
Micro-op 1: 7f34ea6526c1	Micro-op 2: 7f34ea6526c1
Micro-op 1: 7f34ea652700	Micro-op 2: 7f34ea654018
Micro-op 1: 7f34ea65400b	Micro-op 2: 7f34ea652623
Micro-op 1: 7f34ea65263d	Micro-op 2: 7f34ea652647
Micro-op 1: 7f34ea65400b	Micro-op 2: 7f34ea65263d
Micro-op 1: 7f34ea652654	Micro-op 2: 7f34ea652654
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea651e1e
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea651e2a
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea6525cd
Micro-op 1: 7f34ea652603	Micro-op 2: 7f34ea6525db
Micro-op 1: 7f34ea65400b	Micro-op 2: 7f34ea65400b
Micro-op 1: 7f34ea652557	Micro-op 2: 7f34ea65256b
Micro-op 1: 7f34ea652576	Micro-op 2: 7f34ea652593
Micro-op 1: 7f34ea65400b	Micro-op 2: 7f34ea6525bb
Micro-op 1: 7f34ea652557	Micro-op 2: 7f34ea652576
Micro-op 1: 7f34ea652858	Micro-op 2: 7f34ea652858
Micro-op 1: 7f34ea652dff	Micro-op 2: 7f34ea652873
Micro-op 1: 7f34ea651e49	Micro-op 2: 7f34ea651e57
Micro-op 1: 7f34ea66e61a	Micro-op 2: 7f34ea66e622
Micro-op 1: 7f34ea66e61e	Micro-op 2: 7f34ea66e627
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea66fa2e
Micro-op 1: 7f34ea650fdb	Micro-op 2: 7f34ea651ef2
Micro-op 1: 7f34ea652725	Micro-op 2: 7f34ea651f0c
Micro-op 1: 7f34ea651f19	Micro-op 2: 7f34ea651f7b
Micro-op 1: 7f34ea651df4	Micro-op 2: 7f34ea65285d
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea651e50
Micro-op 1: 7f34ea652725	Micro-op 2: 7f34ea651e63
Micro-op 1: 7f34ea6510ef	Micro-op 2: 7f34ea651e86
Micro-op 1: 7f34ea650fb6	Micro-op 2: 7f34ea651e96
Micro-op 1: 7f34ea651ea2	Micro-op 2: 7f34ea651ea2
Micro-op 1: 7f34ea651ea6	Micro-op 2: 7f34ea651ea6
Micro-op 1: 7f34ea651ecb	Micro-op 2: 7f34ea651ead
Micro-op 1: 7f34ea651eb0	Micro-op 2: 7f34ea651eb0
Micro-op 1: 7f34ea651f64	Micro-op 2: 7f34ea651f64
Micro-op 1: 7f34ea652725	Micro-op 2: 7f34ea651f88
Micro-op 1: 7f34ea652018	Micro-op 2: 7f34ea65201f
Micro-op 1: 7f34ea65c0c4	Micro-op 2: 7f34ea65c0cf
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea65c111
Micro-op 1: 7f34ea651eff	Micro-op 2: 7f34ea6520c1
Micro-op 1: 7f34ea66b79c	Micro-op 2: 7f34ea6520ce
Micro-op 1: 7f34ea6723ca	Micro-op 2: 7f34ea66c4f9
Micro-op 1: 7f34ea6723ca	Micro-op 2: 7f34ea66c4fb
Micro-op 1: 7f34ea6723ca	Micro-op 2: 7f34ea6723ca
Micro-op 1: 7f34ea65c290	Micro-op 2: 7f34ea65c2c9
Micro-op 1: 7f34ea651d93	Micro-op 2: 7f34ea65c2f3
Micro-op 1: 7f34ea65c313	Micro-op 2: 7f34ea65c313
Micro-op 1: 7f34ea65c2d3	Micro-op 2: 7f34ea65c4ec
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea65c4ed
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea65c4f0
Micro-op 1: 7f34ea650168	Micro-op 2: 7f34ea65c4f4
Micro-op 1: 7f34ea6723c5	Micro-op 2: 7f34ea671e4a
Micro-op 1: 7f34ea6723ca	Micro-op 2: 7f34ea671e5d
Micro-op 1: 7f34ea65c290	Micro-op 2: 7f34ea65c290
Micro-op 1: 7f34ea6723c5	Micro-op 2: 7f34ea6723c5
Micro-op 1: 7f34ea65c290	Micro-op 2: 7f34ea65c2d3
Micro-op 1: 7f34ea65c38d	Micro-op 2: 7f34ea65c38d
Micro-op 1: 7f34ea66b79c	Micro-op 2: 7f34ea652104
Micro-op 1: 7f34ea65210d	Micro-op 2: 7f34ea652111
Micro-op 1: 7f34ea65285d	Micro-op 2: 7f34ea651df4
Micro-op 1: 7f34ea65285d	Micro-op 2: 7f34ea652858
Micro-op 1: 7f34ea651e3f	Micro-op 2: 7f34ea651e3f
Micro-op 1: 7f34ea651e49	Micro-op 2: 7f34ea651e49
Micro-op 1: 7f34ea651e96	Micro-op 2: 7f34ea651e96
Micro-op 1: 7f34ea66fa28	Micro-op 2: 7f34ea66e61a
Micro-op 1: 7f34ea66fa24	Micro-op 2: 7f34ea66e61e
Micro-op 1: 7f34ea65214f	Micro-op 2: 7f34ea65288d
Micro-op 1: 7f34ea652897	Micro-op 2: 7f34ea6528ab
Micro-op 1: 7f34ea65289b	Micro-op 2: 7f34ea6528b5
Micro-op 1: 7f34ea652888	Micro-op 2: 7f34ea652888
Micro-op 1: 7f34ea65214f	Micro-op 2: 7f34ea652897
Micro-op 1: 7f34ea652156	Micro-op 2: 7f34ea652156
Micro-op 1: 7f34ea652166	Micro-op 2: 7f34ea65214f
