Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:40:27 2025

Initialized Ramulator. 
Micro-op 1: 7f9c0e12d75a	Micro-op 2: 7f9c0e1321bd
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e1321d4
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e1321d8
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e1321e7
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e1321e8
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e1321ea
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e1321eb
Micro-op 1: 7f9c0e2ce261	Micro-op 2: 7f9c0e16473d
Micro-op 1: 7f9c0e164721	Micro-op 2: 7f9c0e164749
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e164688
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e12d770
Micro-op 1: 7f9c0e3780a6	Micro-op 2: 7f9c0e12d771
Micro-op 1: 7f9c0e164630	Micro-op 2: 7f9c0e164787
