Scarab gitrev: fbdb46e
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 11:34:22 2025

Initialized Ramulator. 
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dab858
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dab85d
Micro-op 1: 7ffff7daae49	Micro-op 2: 7ffff7daae57
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dc8148
Micro-op 1: 7ffff7dc8144	Micro-op 2: 7ffff7dc8a24
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dc8a28
Micro-op 1: 7ffff7daae50	Micro-op 2: 7ffff7dc8a2e
Micro-op 1: 7ffff7daaead	Micro-op 2: 7ffff7daaecb
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7daaf0c
Micro-op 1: 7ffff7daaf19	Micro-op 2: 7ffff7daaf7b
Micro-op 1: 7ffff7daaf64	Micro-op 2: 7ffff7daaf64
Micro-op 1: 7ffff7dab873	Micro-op 2: 7ffff7dab873
Micro-op 1: 7ffff7daae3f	Micro-op 2: 7ffff7daae3f
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7daae50
Micro-op 1: 7ffff7daae86	Micro-op 2: 7ffff7daae86
Micro-op 1: 7ffff7daae96	Micro-op 2: 7ffff7daae96
Micro-op 1: 7ffff7daaea2	Micro-op 2: 7ffff7daaea2
Micro-op 1: 7ffff7da9f62	Micro-op 2: 7ffff7daaea6
Micro-op 1: 7ffff7daaeb0	Micro-op 2: 7ffff7daaeb0
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7daaf88
Micro-op 1: 7ffff7daaf90	Micro-op 2: 7ffff7daaf9d
Micro-op 1: 7ffff7daafc0	Micro-op 2: 7ffff7daafc0
Micro-op 1: 7ffff7daafb7	Micro-op 2: 7ffff7daafc4
Micro-op 1: 7ffff7daafa6	Micro-op 2: 7ffff7daafdd
Micro-op 1: 7ffff7daafb3	Micro-op 2: 7ffff7daaffd
Micro-op 1: 7ffff7daafcd	Micro-op 2: 7ffff7dab00d
Micro-op 1: 7ffff7dab018	Micro-op 2: 7ffff7dab01f
Micro-op 1: 7ffff7daafd1	Micro-op 2: 7ffff7dab0a4
Micro-op 1: 7ffff7db50c4	Micro-op 2: 7ffff7db50cf
Micro-op 1: 7ffff7dc5401	Micro-op 2: 7ffff7db5111
Micro-op 1: 7ffff7daaeff	Micro-op 2: 7ffff7dab0c1
Micro-op 1: 7ffff7dc479c	Micro-op 2: 7ffff7dab0ce
Micro-op 1: 7ffff7dc54ad	Micro-op 2: 7ffff7dc54ad
Micro-op 1: 7ffff7dc54f9	Micro-op 2: 7ffff7dc54fb
Micro-op 1: 7ffff7db5290	Micro-op 2: 7ffff7db52c9
Micro-op 1: 7ffff7db52f3	Micro-op 2: 7ffff7db52f3
Micro-op 1: 7ffff7db5313	Micro-op 2: 7ffff7db5313
Micro-op 1: 7ffff7db52d3	Micro-op 2: 7ffff7db54ec
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7db54ed
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7db54f0
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7db54f4
Micro-op 1: 7ffff7dcb3c5	Micro-op 2: 7ffff7dcae4a
Micro-op 1: 7ffff7dcb3ca	Micro-op 2: 7ffff7dcae5d
Micro-op 1: 7ffff7dc54f9	Micro-op 2: 7ffff7dcb3ca
Micro-op 1: 7ffff7db5290	Micro-op 2: 7ffff7db52d3
Micro-op 1: 7ffff7dcb3c5	Micro-op 2: 7ffff7dcb3c5
Micro-op 1: 7ffff7db538d	Micro-op 2: 7ffff7db538d
Micro-op 1: 7ffff7dab10d	Micro-op 2: 7ffff7dab111
Micro-op 1: 7ffff7daae49	Micro-op 2: 7ffff7daae49
Micro-op 1: 7ffff7dab14f	Micro-op 2: 7ffff7dab88d
Micro-op 1: 7ffff7dab897	Micro-op 2: 7ffff7dab8ab
Micro-op 1: 7ffff7dab89b	Micro-op 2: 7ffff7dab8b5
Micro-op 1: 7ffff7dab888	Micro-op 2: 7ffff7dab888
Micro-op 1: 7ffff7dab14f	Micro-op 2: 7ffff7dab897
Micro-op 1: 7ffff7dab156	Micro-op 2: 7ffff7dab156
Micro-op 1: 7ffff7dab166	Micro-op 2: 7ffff7dab14f
Micro-op 1: 7ffff7dab89b	Micro-op 2: 7ffff7dab89b
Micro-op 1: 7ffff7dab166	Micro-op 2: 7ffff7dab14f
Micro-op 1: 7ffff7dab189	Micro-op 2: 7ffff7dab190
Micro-op 1: 7ffff7dab182	Micro-op 2: 7ffff7dab197
Micro-op 1: 7ffff7dab1a9	Micro-op 2: 7ffff7dab205
Micro-op 1: 7ffff7daaead	Micro-op 2: 7ffff7daaead
Micro-op 1: 7ffff7dc7691	Micro-op 2: 7ffff7dc7691
Micro-op 1: 7ffff7dab1ee	Micro-op 2: 7ffff7dab1ee
Micro-op 1: 7ffff7dab228	Micro-op 2: 7ffff7dab24d
Micro-op 1: 7ffff7dab21b	Micro-op 2: 7ffff7dab270
Micro-op 1: 7ffff7dab2b3	Micro-op 2: 7ffff7dab2c1
Micro-op 1: 7ffff7dab2aa	Micro-op 2: 7ffff7dab2e1
Micro-op 1: 7ffff7dab2f4	Micro-op 2: 7ffff7dab2fa
Micro-op 1: 7ffff7dab390	Micro-op 2: 7ffff7dab396
Micro-op 1: 7ffff7dab3be	Micro-op 2: 7ffff7dab3c5
Micro-op 1: 7ffff7dab346	Micro-op 2: 7ffff7dab3d6
Micro-op 1: 7ffff7dab315	Micro-op 2: 7ffff7dab3ed
Micro-op 1: 7ffff7dab406	Micro-op 2: 7ffff7dab406
Micro-op 1: 7ffff7dab406	Micro-op 2: 7ffff7dab475
Micro-op 1: 7ffff7dc5401	Micro-op 2: 7ffff7db5111
Micro-op 1: 7ffff7dab315	Micro-op 2: 7ffff7dab4c6
Micro-op 1: 7ffff7dcae5d	Micro-op 2: 7ffff7dc54f9
Micro-op 1: 7ffff7dcb3a3	Micro-op 2: 7ffff7dcb3a6
Micro-op 1: 7ffff7dc54fa	Micro-op 2: 7ffff7dcb3b3
Micro-op 1: 7ffff7db51f6	Micro-op 2: 7ffff7db518d
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7da9158
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7db51b3
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7db51ec
Micro-op 1: 7ffff7db51f6	Micro-op 2: 7ffff7db51f6
Micro-op 1: 7ffff7da9154	Micro-op 2: 7ffff7da9164
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7da9168
Micro-op 1: 7ffff7dab4fd	Micro-op 2: 7ffff7dab512
Micro-op 1: 7ffff7dab873	Micro-op 2: 7ffff7dab96d
Micro-op 1: 7ffff7db5248	Micro-op 2: 7ffff7dab99b
Micro-op 1: 7ffff7db40eb	Micro-op 2: 7ffff7db412c
Micro-op 1: 7ffff7dab71e	Micro-op 2: 7ffff7db4135
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7db4158
Micro-op 1: 7ffff7db4146	Micro-op 2: 7ffff7db4166
Micro-op 1: 7ffff7daaeff	Micro-op 2: 7ffff7db416b
Micro-op 1: 7ffff7da9168	Micro-op 2: 7ffff7db416f
Micro-op 1: 7ffff7db4196	Micro-op 2: 7ffff7db41c3
Micro-op 1: 7ffff7db41d5	Micro-op 2: 7ffff7db41dc
Micro-op 1: 7ffff7db34dd	Micro-op 2: 7ffff7db34ea
Micro-op 1: 7ffff7db41e7	Micro-op 2: 7ffff7db350b
Micro-op 1: 7ffff7db34d4	Micro-op 2: 7ffff7db3512
Micro-op 1: 7ffff7db35bf	Micro-op 2: 7ffff7db35c4
Micro-op 1: 7ffff7db35db	Micro-op 2: 7ffff7db35db
Micro-op 1: 7ffff7db3545	Micro-op 2: 7ffff7db355e
Micro-op 1: 7ffff7db35db	Micro-op 2: 7ffff7db356a
Micro-op 1: 7ffff7db3530	Micro-op 2: 7ffff7db357f
Micro-op 1: 7ffff7db50c4	Micro-op 2: 7ffff7db358f
Micro-op 1: 7ffff7db35e4	Micro-op 2: 7ffff7db35e4
Micro-op 1: 7ffff7db3589	Micro-op 2: 7ffff7db3530
Micro-op 1: 7ffff7db3555	Micro-op 2: 7ffff7db3555
Micro-op 1: 7ffff7db3562	Micro-op 2: 7ffff7db3562
Micro-op 1: 7ffff7db357a	Micro-op 2: 7ffff7db357a
Micro-op 1: 7ffff7db3585	Micro-op 2: 7ffff7db3585
Micro-op 1: 7ffff7db3545	Micro-op 2: 7ffff7db3545
Micro-op 1: 7ffff7db3589	Micro-op 2: 7ffff7db3589
Micro-op 1: 7ffff7db37b8	Micro-op 2: 7ffff7db37ca
Micro-op 1: 7ffff7db37db	Micro-op 2: 7ffff7db37f4
Micro-op 1: 7ffff7db37bf	Micro-op 2: 7ffff7db382d
