
 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f75e590a788, 7f75e5a84440, 8, 1, 1, 706198
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f75e590d2a8, 7f75e5a84440, 8, 4, 1, 2818810

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f75e590cfc0, 7f75e5a844c0, 0, 2, 0, 1663332
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 2c, 7f75e590d26a, 7f75e5a844c0, 4, 2, 2, 2818629

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f75e590d781, 7ffff6ec3a00, 8, 8, 1, 705880
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 14, 7f75e590d253, 7ffff6ec3a00, 4, 8, 1, 2818622

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f75e590d5df, 7f75e2b72380, 0, 5, 0, 2818397
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f75e590d5df, 7f75e2b72380, 0, 5, 0, 2818472

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f75e590d1cc, 7f75e2b8c400, 8, 5, 1, 1662974
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f75e590d59c, 7f75e2b8c400, 8, 6, 1, 2818382

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f75e590d5f8, 7f75e2b72380, 0, 6, 0, 1662988
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f75e590d598, 7f75e2b72380, 8, 6, 1, 2818381

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f75e2586920, 7ffff6ec3bc0, 8, 8, 1, 1505
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f75e2586894, 7ffff6ec3bc0, 8, 8, 1, 2670967

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f75e63b8403, 7ffff6ec3b40, 8, 8, 1, 2231166
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f75e63b8403, 7ffff6ec3b40, 8, 8, 1, 2670962

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f75e63b83c6, 7f75e29af340, 8, 4, 1, 2660531
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 4, 7f75e63b83d2, 7f75e29af340, 1, 4, 1, 2660534

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f75e63b83c1, 7f75e6599700, 8, 1, 1, 2231143
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f75e63b83c1, 7f75e6599700, 8, 1, 1, 2660530

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f75e590b81a, 7f75e65997c0, 0, 0, 0, 2161030
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f75e590b81a, 7f75e65997c0, 0, 0, 0, 2367513

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f75e5a17dcd, 7f75e2ba4480, 32, 6, 1, 2268956
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f75e590b810, 7f75e2ba4480, 1, 5, 1, 2367510

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f75e590b810, 7f75e2ce09c0, 1, 5, 1, 2161027
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 3e, 7f75e5a1810c, 7f75e2ce09c0, 1, 6, 1, 2367345

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f75e258694e, 7f73673d7380, 0, 5, 0, 2231219
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f75e258694e, 7f73673d7380, 0, 5, 0, 2231233

