
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e8c1ecffc, 7f1e8c1aa740, 8, 14, 1, 4957024

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f1e8c1ecff0, 7fff0d178b40, 8, 5, 1, 1806523
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f1e8c1ecff0, 7fff0d178b40, 8, 5, 1, 4957000

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 5, 7f1e8c1ecfcb, 7fff0d178b80, 1, 5, 1, 4956994

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 39, 7f1e8c1e3819, 7f1e8c2183c0, 1, 2, 1, 1801056
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f1e8c1ecf94, 7f1e8c2183c0, 8, 3, 1, 4956985

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f1e8c1ecf86, 7fff0d178b80, 8, 5, 1, 4956983

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f1e8c1ecc97, 7fff0d178bc0, 8, 8, 1, 4956826

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f1e8c1dc8ee, 7fff0d178bc0, 8, 8, 1, 4956821

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e8b72ed50, 7fff0d178bc0, 8, 8, 1, 4956814

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f1e8b72ed4d, 7fff0d178bc0, 8, 8, 1, 4956810

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f1e8b72d5fe, 7f1e883cf500, 8, 3, 1, 1804072
