
 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fc6ffa1d, 7f97fc6c8740, 8, 1, 1, 20591972
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f97fc708ebe, 7f97fc6c8740, 8, 14, 1, 20592037

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fc6ffa1d, 7f97fc6c8740, 8, 1, 1, 20591972
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fc708eb2, 7f97fc6c8740, 8, 14, 1, 20592035

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f97fc70a249, 7f97fc6c8700, 8, 5, 1, 20592005
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 3c, 7f97fc708e9e, 7f97fc6c8700, 4, 14, 1, 20592031

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc4d81a, 7f97fc6c87c0, 4, 0, 0, 20057658
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f97fc708e8f, 7f97fc6c87c0, 8, 0, 0, 20592028

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f97f88c78f8, 7fff61638b40, 8, 8, 1, 20055883
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fc708dca, 7fff61638b40, 8, 8, 1, 20591956

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f97f88c78f8, 7fff61638b40, 8, 8, 1, 20055883
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f97fc708dc8, 7fff61638b40, 8, 8, 1, 20591954

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f97f88c78f8, 7fff61638b40, 8, 8, 1, 20055883
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f97fc708dc6, 7fff61638b40, 8, 8, 1, 20591952

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f97f88c78f8, 7fff61638b40, 8, 8, 1, 20055883
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f97fc708dc5, 7fff61638b40, 8, 8, 1, 20591950

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f97fc708c97, 7fff61638b40, 8, 8, 1, 20591843
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f97fc708dc4, 7fff61638b40, 8, 8, 1, 20591948

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f97fc70a6d5, 7fff61638b00, 8, 8, 1, 20591911
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f97fc70a6d6, 7fff61638b00, 8, 8, 1, 20591913

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f97fc6f88ef, 7fff61638b00, 8, 8, 1, 20591840
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f97fc70a6d4, 7fff61638b00, 8, 8, 1, 20591909

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fbc50d52, 7fff61638b00, 8, 8, 1, 20591833
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f97fc6f88ee, 7fff61638b00, 8, 8, 1, 20591838

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f97fbc50d4e, 7fff61638b00, 8, 8, 1, 20591829
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f97fbc50d50, 7fff61638b00, 8, 8, 1, 20591831

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f97fbc50d4c, 7fff61638b00, 8, 8, 1, 20591825
