FU_BUSY_15_count,             0
FU_BUSY_15_total_count,             0

FU_BUSY_16_count,             0
FU_BUSY_16_total_count,             0

FU_BUSY_17_count,             0
FU_BUSY_17_total_count,             0

FU_BUSY_18_count,             0
FU_BUSY_18_total_count,             0

FU_BUSY_19_count,             0
FU_BUSY_19_total_count,             0

FU_BUSY_20_count,             0
FU_BUSY_20_total_count,             0

FU_BUSY_21_count,             0
FU_BUSY_21_total_count,             0

FU_BUSY_22_count,             0
FU_BUSY_22_total_count,             0

FU_BUSY_23_count,             0
FU_BUSY_23_total_count,             0

FU_BUSY_24_count,             0
FU_BUSY_24_total_count,             0

FU_BUSY_25_count,             0
FU_BUSY_25_total_count,             0

FU_BUSY_26_count,             0
FU_BUSY_26_total_count,             0

FU_BUSY_27_count,             0
FU_BUSY_27_total_count,             0

FU_BUSY_28_count,             0
FU_BUSY_28_total_count,             0

FU_BUSY_29_count,             0
FU_BUSY_29_total_count,             0

FU_BUSY_30_count,             0
FU_BUSY_30_total_count,             0

FU_BUSY_31_count,             0
FU_BUSY_31_total_count,             0

FU_REJECTED_OP_INV_NOT_SIMD_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_INV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_NOP_NOT_SIMD_count,       1027309
FU_REJECTED_OP_NOP_NOT_SIMD_pct,        9.874
FU_REJECTED_OP_NOP_NOT_SIMD_total_count,       1027309
FU_REJECTED_OP_NOP_NOT_SIMD_total_pct,        9.874

FU_REJECTED_OP_CF_NOT_SIMD_count,           469
FU_REJECTED_OP_CF_NOT_SIMD_pct,        0.005
FU_REJECTED_OP_CF_NOT_SIMD_total_count,           469
FU_REJECTED_OP_CF_NOT_SIMD_total_pct,        0.005

FU_REJECTED_OP_MOV_NOT_SIMD_count,        677092
FU_REJECTED_OP_MOV_NOT_SIMD_pct,        6.508
FU_REJECTED_OP_MOV_NOT_SIMD_total_count,        677092
FU_REJECTED_OP_MOV_NOT_SIMD_total_pct,        6.508

FU_REJECTED_OP_CMOV_NOT_SIMD_count,             0
FU_REJECTED_OP_CMOV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_CMOV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_CMOV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_LDA_NOT_SIMD_count,        181303
FU_REJECTED_OP_LDA_NOT_SIMD_pct,        1.743
FU_REJECTED_OP_LDA_NOT_SIMD_total_count,        181303
FU_REJECTED_OP_LDA_NOT_SIMD_total_pct,        1.743

FU_REJECTED_OP_IMEM_NOT_SIMD_count,            54
FU_REJECTED_OP_IMEM_NOT_SIMD_pct,        0.001
FU_REJECTED_OP_IMEM_NOT_SIMD_total_count,            54
FU_REJECTED_OP_IMEM_NOT_SIMD_total_pct,        0.001

FU_REJECTED_OP_IADD_NOT_SIMD_count,         25114
FU_REJECTED_OP_IADD_NOT_SIMD_pct,        0.241
FU_REJECTED_OP_IADD_NOT_SIMD_total_count,         25114
FU_REJECTED_OP_IADD_NOT_SIMD_total_pct,        0.241

FU_REJECTED_OP_IMUL_NOT_SIMD_count,       2758648
FU_REJECTED_OP_IMUL_NOT_SIMD_pct,       26.516
FU_REJECTED_OP_IMUL_NOT_SIMD_total_count,       2758648
