Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:17:17 2025

Initialized Ramulator. 
Op1 PC: 7ffff7dc48f8	 Op2 PC: 7ffff7dc48f8	 Op1 Cacheblock: 7fffffffd2c0	 Op2 Cacheblock: 7fffffffd2c0	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 4815	Op2 micro-op id: 4828	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc49c0	 Op2 PC: 7ffff7dc49c0	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 5049	Op2 micro-op id: 5228	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc49d1	 Op2 PC: 7ffff7dc49d1	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 5530	Op2 micro-op id: 5543	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4a30	 Op2 PC: 7ffff7dc4a34	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 5571	Op2 micro-op id: 5572	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4a30	 Op2 PC: 7ffff7dc4a30	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 5703	Op2 micro-op id: 5715	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4998	 Op2 PC: 7ffff7dc49a8	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 32	 Op2 offset: 40	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 5733	Op2 micro-op id: 5737	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7ffff7dc4998	 Op2 PC: 7ffff7dc4998	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 5757	Op2 micro-op id: 5781	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7ffff7dc4a70	 Op2 PC: 7ffff7dc4a74	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 5880	Op2 micro-op id: 5881	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4a70	 Op2 PC: 7ffff7dc4a70	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 6002	Op2 micro-op id: 6013	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4840	 Op2 PC: 7ffff7dc4840	 Op1 Cacheblock: 7fffffffd340	 Op2 Cacheblock: 7fffffffd340	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 6050	Op2 micro-op id: 6124	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4a50	 Op2 PC: 7ffff7dc4a54	 Op1 Cacheblock: 7fffffffd340	 Op2 Cacheblock: 7fffffffd340	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 6518	Op2 micro-op id: 6519	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7ffff7dc4a50	 Op2 PC: 7ffff7dc4a50	 Op1 Cacheblock: 7fffffffd340	 Op2 Cacheblock: 7fffffffd340	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 6538	Op2 micro-op id: 6558	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7ffff7dc4a10	 Op2 PC: 7ffff7dc4a14	 Op1 Cacheblock: 7fffffffd380	 Op2 Cacheblock: 7fffffffd380	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 6790	Op2 micro-op id: 6791	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4a10	 Op2 PC: 7ffff7dc4a10	 Op1 Cacheblock: 7fffffffd380	 Op2 Cacheblock: 7fffffffd380	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 6810	Op2 micro-op id: 6830	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc4948	 Op2 PC: 7ffff7dc494c	 Op1 Cacheblock: 7fffffffd3c0	 Op2 Cacheblock: 7fffffffd3c0	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 7434	Op2 micro-op id: 7435	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7ffff7dc4948	 Op2 PC: 7ffff7dc4948	 Op1 Cacheblock: 7fffffffd3c0	 Op2 Cacheblock: 7fffffffd3c0	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 7471	Op2 micro-op id: 7508	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7ffff7dc4828	 Op2 PC: 7ffff7dc4920	 Op1 Cacheblock: 7fffffffd3c0	 Op2 Cacheblock: 7fffffffd3c0	 Op1 Offset: 32	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 7766	Op2 micro-op id: 7865	Op1 mem size: 8	Op2 mem size: 8
