Scarab gitrev: 3e29641
Scarab started at Tue Apr  8 05:34:02 2025

Initialized Ramulator. 
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc70b7e5, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70b86f, Op2 PC: 7f97fc70a25d, Op1 Cacheline: 7f97f8931a40, Op2 Cacheline: 7f97f8931a40, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 1, Op2 Base reg: 2
Op1 PC: 7f97fc70a249, Op2 PC: 7f97fc70a26b, Op1 Cacheline: 7f97fc6c8700, Op2 Cacheline: 7f97fc6c8700, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 5, Op2 Base reg: 5
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc70a760, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70b854, Op2 PC: 7f97fc701f1a, Op1 Cacheline: 7f97fc733f80, Op2 Cacheline: 7f97fc733f80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fc6ffa1d, Op2 PC: 7f97fc701f21, Op1 Cacheline: 7f97fc6c8740, Op2 Cacheline: 7f97fc6c8740, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 1, Op2 Base reg: 2
Op1 PC: 7f97fc701f26, Op2 PC: 7f97fc701f2f, Op1 Cacheline: 7f97f8931a80, Op2 Cacheline: 7f97f8931a80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 5, Op2 Base reg: 5
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc701f3c, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc701f3d, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc701f3e, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70a27a, Op2 PC: 7f97fc70a284, Op1 Cacheline: 7f97f8931540, Op2 Cacheline: 7f97f8931540, Op1 Mem size: 16, Op2 Mem size: 16, Op1 Base reg: 2, Op2 Base reg: 2
Op1 PC: 7f97fc70a28e, Op2 PC: 7f97fc70a298, Op1 Cacheline: 7f97f8931540, Op2 Cacheline: 7f97f8931540, Op1 Mem size: 16, Op2 Mem size: 16, Op1 Base reg: 2, Op2 Base reg: 2
Op1 PC: 7f97fc70a249, Op2 PC: 7f97fc70a2ab, Op1 Cacheline: 7f97fc6c8700, Op2 Cacheline: 7f97fc6c8700, Op1 Mem size: 8, Op2 Mem size: 4, Op1 Base reg: 5, Op2 Base reg: 5
