EXEC_STAGE_OFF_PATH_pct,        6.085
EXEC_STAGE_OFF_PATH_total_count,        930300
EXEC_STAGE_OFF_PATH_total_pct,        6.085
EXEC_STAGE_OFF_PATH_sum_count,      15289496
EXEC_STAGE_OFF_PATH_sum_pct,      100.000
EXEC_STAGE_OFF_PATH_sum_total_count,      15289496
EXEC_STAGE_OFF_PATH_sum_total_pct,      100.000
EXEC_STAGE_OFF_PATH_mean,         0.15
EXEC_STAGE_OFF_PATH_stddev,         0.48
EXEC_STAGE_OFF_PATH_total_mean,         0.15
EXEC_STAGE_OFF_PATH_total_stddev,         0.48

FU_BUSY_0_count,       8256000
FU_BUSY_0_total_count,       8256000

FU_BUSY_1_count,       7279222
FU_BUSY_1_total_count,       7279222

FU_BUSY_2_count,       3053456
FU_BUSY_2_total_count,       3053456

FU_BUSY_3_count,       2592947
FU_BUSY_3_total_count,       2592947

FU_BUSY_4_count,       6118526
FU_BUSY_4_total_count,       6118526

FU_BUSY_5_count,       6367243
FU_BUSY_5_total_count,       6367243

FU_BUSY_6_count,        851577
FU_BUSY_6_total_count,        851577

FU_BUSY_7_count,        959493
FU_BUSY_7_total_count,        959493

FU_BUSY_8_count,             0
FU_BUSY_8_total_count,             0

FU_BUSY_9_count,             0
FU_BUSY_9_total_count,             0

FU_BUSY_10_count,             0
FU_BUSY_10_total_count,             0

FU_BUSY_11_count,             0
FU_BUSY_11_total_count,             0

FU_BUSY_12_count,             0
FU_BUSY_12_total_count,             0

FU_BUSY_13_count,             0
FU_BUSY_13_total_count,             0

FU_BUSY_14_count,             0
FU_BUSY_14_total_count,             0

FU_BUSY_15_count,             0
FU_BUSY_15_total_count,             0

FU_BUSY_16_count,             0
FU_BUSY_16_total_count,             0

FU_BUSY_17_count,             0
FU_BUSY_17_total_count,             0

FU_BUSY_18_count,             0
FU_BUSY_18_total_count,             0

FU_BUSY_19_count,             0
FU_BUSY_19_total_count,             0

FU_BUSY_20_count,             0
FU_BUSY_20_total_count,             0

FU_BUSY_21_count,             0
FU_BUSY_21_total_count,             0

FU_BUSY_22_count,             0
FU_BUSY_22_total_count,             0

FU_BUSY_23_count,             0
FU_BUSY_23_total_count,             0

FU_BUSY_24_count,             0
FU_BUSY_24_total_count,             0

