op1_pc,op2_pc,distance
7f97f88c6604,7f97f88c65a4,6405049
7f97fbc4d716,7f97fbd5aa40,46609585
7f97f88c8b3d,7f97f88c8b3d,167
7f97f88c6524,7f97f88c6524,129
7f97fbf21af0,7f97fbf21af4,1
7f97fbf21b37,7f97f88c8b5e,3
7f97f88c8ada,7f97fbcdfbfa,1503
7f97fbc503f7,7f97fbcdfc2b,46610727
7f97f88c8ada,7f97fbc20056,1577
7f97fbc503f7,7f97fbc20067,46610792
7f97fbc2009c,7f97fbc200b1,5
7f97fbd5c5ca,7f97fbc3c1f3,151
7f97fbc20090,7f97fbc20534,241
7f97f88c8ada,7f97fbc20542,1875
7f97fbc2054b,7f97fbc20567,9
7f97fbc20121,7f97fbc2013d,8
7f97fbc3c1c4,7f97fbc3c1c4,422
7f97fbc3c1d3,7f97fbc3c1d3,422
7f97fbc20100,7f97fbc20100,384
7f97fbc2010e,7f97fbc2010e,384
7f97fbc2011a,7f97fbc2011a,384
7f97fbc200b6,7f97fbc20121,680
7f97fbc20148,7f97fbc20148,384
7f97fbc36675,7f97fbc36676,2
7f97fbc36677,7f97fbc36679,2
7f97fbc3667b,7f97fbc3667d,2
7f97fbc2018e,7f97fbc201a6,4
7f97fbc20183,7f97fbc20214,27
7f97fbc20518,7f97fbc20251,677
7f97fbc2054b,7f97fbc2054b,439
7f97fbc20572,7f97fbc20572,439
7f97fbc3667f,7f97fbc36675,359
7f97fbc3667f,7f97fbc36677,363
7f97fbc3667f,7f97fbc3667b,367
7f97fbc3667f,7f97fbc3667f,371
7f97fbc201b4,7f97fbc201b4,371
7f97fbc2023f,7f97fbc2023f,371
7f97fbc20243,7f97fbc20243,371
7f97fbc21314,7f97fbc21317,1
7f97fbbd3494,7f97fbbd34d4,21
7f97fbc3667f,7f97fbd5c5ca,1483
7f97fbc3667f,7f97fbd5d0cf,1564
7f97fbc2132c,7f97fbc208d9,695
7f97fbc2132c,7f97fbc208e7,698
7f97fbc208fa,7f97fbc208fa,77
7f97fbc36734,7f97fbc36734,6
7f97fbd5c5ca,7f97fbc3667d,4006
