Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:45:26 2025

Initialized Ramulator. 
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686988	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf79833c	Micro-op 2: 7f74cf686992	 Cacheblock Address: 7f74c792f240
Micro-op 1: 7f74cf6869c0	Micro-op 2: 7f74cf6869c0	 Cacheblock Address: 7f74cf7fd780
Micro-op 1: 7f74cf686a69	Micro-op 2: 7f74cf686a69	 Cacheblock Address: 7f74cf7be300
Micro-op 1: 7f74cf686a82	Micro-op 2: 7f74cf686a82	 Cacheblock Address: 7f74cf7be280
Micro-op 1: 7f74cf6868be	Micro-op 2: 7f74cf6868be	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74cf6868e1	Micro-op 2: 7f74cf6868e1	 Cacheblock Address: 7f725416fb80
Micro-op 1: 7f74cf68692a	Micro-op 2: 7f74cf68692a	 Cacheblock Address: 7f725416fac0
Micro-op 1: 7f74cf68699b	Micro-op 2: 7f74cf68699b	 Cacheblock Address: 7f74cf801300
Micro-op 1: 7f74cf79833c	Micro-op 2: 7f74cf79833c	 Cacheblock Address: 7f74c792f240
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf68695c	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf687035	 Cacheblock Address: 7f725416fb80
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf687094	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf6870a0	Micro-op 2: 7f74cf6870a7	 Cacheblock Address: 7f725416f4c0
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf6870ae	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf68692a	Micro-op 2: 7f74cf6870c3	 Cacheblock Address: 7f725416fac0
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf6870ce	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf6870d5	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74c6e36b7b	Micro-op 2: 7f74cf6a2130	 Cacheblock Address: 7f74c8b29f40
Micro-op 1: 7f74cf6a20aa	Micro-op 2: 7f74cf6a20ab	 Cacheblock Address: 7f725416f440
Micro-op 1: 7f74cf6a20ac	Micro-op 2: 7f74cf6a20ae	 Cacheblock Address: 7f725416f440
Micro-op 1: 7f74cf6a20b0	Micro-op 2: 7f74cf6a20b2	 Cacheblock Address: 7f725416f440
Micro-op 1: 7f74cf687105	Micro-op 2: 7f74cf687111	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf6a20b4	Micro-op 2: 7f74cf7984ba	 Cacheblock Address: 7f725416f440
Micro-op 1: 7f74cf686f67	Micro-op 2: 7f74cf686f94	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686f9b	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf68692a	Micro-op 2: 7f74cf686fae	 Cacheblock Address: 7f725416fac0
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686fb9	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686fc0	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf6870f9	Micro-op 2: 7f74cf686fe3	 Cacheblock Address: 7f74cf7f91c0
Micro-op 1: 7f74cf632464	Micro-op 2: 7f74cf632464	 Cacheblock Address: 7f74cf7fc080
Micro-op 1: 7f74cf6a20b4	Micro-op 2: 7f74cf7987fd	 Cacheblock Address: 7f725416f440
Micro-op 1: 7f74cf6a2030	Micro-op 2: 7f74cf6a2030	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74cf6a2034	Micro-op 2: 7f74cf6a2034	 Cacheblock Address: 7f725416fa40
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686fef	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf687048	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf6a2030	Micro-op 2: 7f74cf686b56	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686b77	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf686bae	Micro-op 2: 7f74cf686bae	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf686bb2	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74cf686bc8	Micro-op 2: 7f74cf686bc9	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf686bcb	Micro-op 2: 7f74cf686bcd	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf686bcf	Micro-op 2: 7f74cf686bd1	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a2030	Micro-op 2: 7f74cf69bf9a	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74cf6a2034	Micro-op 2: 7f74cf69bf9f	 Cacheblock Address: 7f725416fa40
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf69bfb6	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74cf69bfae	Micro-op 2: 7f74cf69bfc8	 Cacheblock Address: 7f725416fb40
Micro-op 1: 7f74cf69bfc9	Micro-op 2: 7f74cf69bfca	 Cacheblock Address: 7f725416fb40
Micro-op 1: 7f74cf69bfcc	Micro-op 2: 7f74cf69bfce	 Cacheblock Address: 7f725416fb40
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf69bfd0	 Cacheblock Address: 7f725416fb80
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf69bfd2	 Cacheblock Address: 7f725416fb80
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf671df6	 Cacheblock Address: 7f725416fb80
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf671dfb	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74c6e3700e	Micro-op 2: 7f74c6e37012	 Cacheblock Address: 7f725416fc80
Micro-op 1: 7f74c6e36d84	Micro-op 2: 7f74c6e36b0f	 Cacheblock Address: 7f74c8b29e80
Micro-op 1: 7f74cf671e0d	Micro-op 2: 7f74c6eaaaa3	 Cacheblock Address: 7f725416fc40
Micro-op 1: 7f74c6e36e2e	Micro-op 2: 7f74c6e36e52	 Cacheblock Address: 7f725416fc80
Micro-op 1: 7f74c6e36e63	Micro-op 2: 7f74c6e36e64	 Cacheblock Address: 7f725416fc80
Micro-op 1: 7f74c6e36e66	Micro-op 2: 7f74c6e36e68	 Cacheblock Address: 7f725416fc80
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e36e6c	 Cacheblock Address: 7f725416fcc0
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e36e6d	 Cacheblock Address: 7f725416fcc0
Micro-op 1: 7f74cf728736	Micro-op 2: 7f74cf728745	 Cacheblock Address: 7f725416fcc0
Micro-op 1: 7f74c6e3686c	Micro-op 2: 7f74c6e36888	 Cacheblock Address: 7f74cccf8f00
Micro-op 1: 7f74c6e26f7c	Micro-op 2: 7f74c6e368a8	 Cacheblock Address: 7f725416fc80
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e368a9	 Cacheblock Address: 7f725416fcc0
Micro-op 1: 7f74c6e3c180	Micro-op 2: 7f74c6e368aa	 Cacheblock Address: 7f725416fcc0
Micro-op 1: 7f74c6e25f0b	Micro-op 2: 7f74c6e25f0b	 Cacheblock Address: 7f74cccf8640
Micro-op 1: 7f74cf68703c	Micro-op 2: 7f74c6e25ad6	 Cacheblock Address: 7f725416fbc0
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74c6e25af6	 Cacheblock Address: 7f7254170700
