Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:51:07 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66b50d	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea66b52b	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea66b52c	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66bf43	Micro-op 2: 7f34ea66bf47	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bf4b	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66bf55	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66bfb6	Micro-op 2: 7f34ea66bfb6	 Cacheblock Address: 7f34ea673980
Micro-op 1: 7f34ea66bfc1	Micro-op 2: 7f34ea66bfc1	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bb16	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bb22	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea669600	Micro-op 2: 7f34ea66961c	 Cacheblock Address: 7f34ea67cc40
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea669640	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea6695fc	Micro-op 2: 7f34ea669600	 Cacheblock Address: 7f34ea67ca80
Micro-op 1: 7f34ea669640	Micro-op 2: 7f34ea669640	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66bb64	Micro-op 2: 7f34ea66bb7f	 Cacheblock Address: 7ffe447c2c40
Micro-op 1: 7f34ea669640	Micro-op 2: 7f34ea669640	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bb9f	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bd82	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bde8	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bdfe	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66be0b	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea669640	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea669640	Micro-op 2: 7f34ea671e5d	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66cfe0	Micro-op 2: 7f34ea66cfe1	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bc42	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66cf9e	Micro-op 2: 7f34ea651646	 Cacheblock Address: 7f34ea67e100
Micro-op 1: 7f34ea66bc29	Micro-op 2: 7f34ea65164d	 Cacheblock Address: 7f34ea67ce40
Micro-op 1: 7f34ea66911b	Micro-op 2: 7f34ea66c3e5	 Cacheblock Address: 7ffe447c3980
Micro-op 1: 7f34ea66c3c7	Micro-op 2: 7f34ea66c3d8	 Cacheblock Address: 7ffe447c30c0
Micro-op 1: 7f34ea66c3e5	Micro-op 2: 7f34ea66c3e5	 Cacheblock Address: 7ffe447c39c0
Micro-op 1: 7f34ea66c3ea	Micro-op 2: 7f34ea66c3ea	 Cacheblock Address: 7ffe447c39c0
Micro-op 1: 7f34ea66c3ea	Micro-op 2: 7f34ea66c3ea	 Cacheblock Address: 7ffe447c4b80
Micro-op 1: 7f34ea66c3f0	Micro-op 2: 7f34ea66c3f0	 Cacheblock Address: 7ffe447c4b80
Micro-op 1: 7f34ea66c3f0	Micro-op 2: 7f34ea6516ac	 Cacheblock Address: 7ffe447c4b80
Micro-op 1: 7f34ea66c3f0	Micro-op 2: 7f34ea6516c9	 Cacheblock Address: 7ffe447c4b80
Micro-op 1: 7f34ea669065	Micro-op 2: 7f34ea651ae9	 Cacheblock Address: 7f34ea67ce40
Micro-op 1: 7f34ea651b01	Micro-op 2: 7f34ea653a3f	 Cacheblock Address: 7ffe447c4b80
Micro-op 1: 7f34ea6516e1	Micro-op 2: 7f34ea6516e1	 Cacheblock Address: 7f34ea673000
Micro-op 1: 7f34ea651698	Micro-op 2: 7f34ea651698	 Cacheblock Address: 7ffe447c2a00
Micro-op 1: 7f34ea66c3c4	Micro-op 2: 7f34ea66c3c4	 Cacheblock Address: 7ffe447c2a80
Micro-op 1: 7f34ea66c3c7	Micro-op 2: 7f34ea66c3c7	 Cacheblock Address: 7ffe447c3100
Micro-op 1: 7f34ea66c401	Micro-op 2: 7f34ea66c401	 Cacheblock Address: 7ffe447c29c0
Micro-op 1: 7f34ea651b01	Micro-op 2: 7f34ea651b01	 Cacheblock Address: 7ffe447c4b80
Micro-op 1: 7f34ea66c408	Micro-op 2: 7f34ea66c408	 Cacheblock Address: 7ffe447c29c0
Micro-op 1: 7f34ea669065	Micro-op 2: 7f34ea6516eb	 Cacheblock Address: 7f34ea67ce40
Micro-op 1: 7f34ea6516fb	Micro-op 2: 7f34ea6516fb	 Cacheblock Address: 7f34ea67c500
Micro-op 1: 7f34ea6500c4	Micro-op 2: 7f34ea6500a4	 Cacheblock Address: 7f34ea67d000
Micro-op 1: 7f34ea6500c4	Micro-op 2: 7f34ea6500c4	 Cacheblock Address: 7f34ea67d000
Micro-op 1: 7f34ea66c4ad	Micro-op 2: 7f34ea66c4b4	 Cacheblock Address: 7f34ea67e0c0
Micro-op 1: 7f34ea66c4f9	Micro-op 2: 7f34ea66c4fa	 Cacheblock Address: 7ffe447c2940
Micro-op 1: 7f34ea65c290	Micro-op 2: 7f34ea65c295	 Cacheblock Address: 7ffe447c2980
Micro-op 1: 7f34ea65c2c9	Micro-op 2: 7f34ea65c2ce	 Cacheblock Address: 7ffe447c2980
Micro-op 1: 7f34ea6723c5	Micro-op 2: 7f34ea65c2db	 Cacheblock Address: 7f34ea674340
Micro-op 1: 7f34ea65c2d3	Micro-op 2: 7f34ea65c2fb	 Cacheblock Address: 7ffe447c2980
Micro-op 1: 7f34ea65c4ed	Micro-op 2: 7f34ea65c4ee	 Cacheblock Address: 7ffe447c29c0
Micro-op 1: 7f34ea65c4f0	Micro-op 2: 7f34ea65c4f2	 Cacheblock Address: 7ffe447c29c0
Micro-op 1: 7f34ea65c4f4	Micro-op 2: 7f34ea65c4f6	 Cacheblock Address: 7ffe447c29c0
Micro-op 1: 7f34ea65c38d	Micro-op 2: 7f34ea65c19e	 Cacheblock Address: 7f34ea67d040
Micro-op 1: 7f34ea650158	Micro-op 2: 7f34ea65c1cf	 Cacheblock Address: 7ffe447c29c0
Micro-op 1: 7f34ea650154	Micro-op 2: 7f34ea65c1da	 Cacheblock Address: 7f34ea67d980
Micro-op 1: 7f34ea65c1ec	Micro-op 2: 7f34ea65c1f4	 Cacheblock Address: 7ffe447c29c0
Micro-op 1: 7f34ea66cfaa	Micro-op 2: 7f34ea66c4ad	 Cacheblock Address: 7f34ea67e0c0
Micro-op 1: 7f34ea65c313	Micro-op 2: 7f34ea66c568	 Cacheblock Address: 7f34ea67c600
