Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:42:56 2025

Initialized Ramulator. 
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180c8b06e	 Cacheblock Address: 7f717d725180
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180c8b077	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b29584	Micro-op 2: 7f7180b29584	 Cacheblock Address: 7f7180cf3100
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180c8b045	 Cacheblock Address: 7f717d725180
Micro-op 1: 7f7180c8b041	Micro-op 2: 7f7180c8b041	 Cacheblock Address: 7f717d8cf880
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf0f	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf10	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf11	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf13	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf15	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b4cf17	Micro-op 2: 7f7180b4cf19	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f717d421f2d	Micro-op 2: 7f717d421f2f	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f717d421f31	Micro-op 2: 7f717d421f33	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f717d16cf34	Micro-op 2: 7f717d16cf34	 Cacheblock Address: 7f717d85b900
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180b4cec5	 Cacheblock Address: 7f717d725180
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180c8f6f5	 Cacheblock Address: 7f717d725180
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180c8f7fd	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f717d421f34	Micro-op 2: 7f7180b4cf17	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f717d421f2d	Micro-op 2: 7f717d421f31	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180bea0be	Micro-op 2: 7f7180b9d851	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7180ba16f0	Micro-op 2: 7f7180b9d861	 Cacheblock Address: 7f717e069fc0
Micro-op 1: 7f7180ba16fc	Micro-op 2: 7f7180b9d89a	 Cacheblock Address: 7f7180cf2d40
Micro-op 1: 7f7180ba1703	Micro-op 2: 7f7180b9d8a4	 Cacheblock Address: 7f717e172dc0
Micro-op 1: 7f7180b9d8b5	Micro-op 2: 7f7180b9d8d5	 Cacheblock Address: 7f7180cf32c0
Micro-op 1: 7f7180b9d98d	Micro-op 2: 7f7180b9d98e	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180b9d98f	Micro-op 2: 7f7180b9d991	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180b9d993	Micro-op 2: 7f7180b9d995	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d4a23f6	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d4a23f7	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f717d42f19c	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f717d5775be	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7fff1eb7ca3d	Micro-op 2: 7fff1eb7ca4a	 Cacheblock Address: 7fff1eb78080
Micro-op 1: 7fff1eb7ca61	Micro-op 2: 7fff1eb7ca68	 Cacheblock Address: 7fff1eb78080
Micro-op 1: 7fff1eb7ca6f	Micro-op 2: 7fff1eb7ca84	 Cacheblock Address: 7fff1eb78080
Micro-op 1: 7fff1eb7ca8a	Micro-op 2: 7fff1eb7ca91	 Cacheblock Address: 7fff1eb78080
Micro-op 1: 7fff1eb7cad7	Micro-op 2: 7fff1eb7cad8	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7fff1eb7cada	Micro-op 2: 7fff1eb7cadb	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f717d5775d6	Micro-op 2: 7f717d5775e7	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f717d5775eb	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f717d5775ef	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d5775fa	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d5775fb	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c0b58c	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f71815beab9	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f7181c0b584	Micro-op 2: 7f718157f39f	 Cacheblock Address: 7f71816b0940
Micro-op 1: 7f7181c07d46	Micro-op 2: 7f7181c07d55	 Cacheblock Address: 7f717d8cf9c0
Micro-op 1: 7f7181c07d49	Micro-op 2: 7f7181c07d9d	 Cacheblock Address: 7f717e173180
Micro-op 1: 7f7181c07daf	Micro-op 2: 7f7181c07db0	 Cacheblock Address: 7fff1ea3f100
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db3	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db5	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db7	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db9	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f71815bea39	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f3ab	Micro-op 2: 7f718157f3b7	 Cacheblock Address: 7f71816b0940
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08b6e	 Cacheblock Address: 7f717d8cf9c0
Micro-op 1: 7f7181c019e3	Micro-op 2: 7f7181c08b71	 Cacheblock Address: 7f717e173180
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08b79	 Cacheblock Address: 7f717d8cf9c0
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08c46	 Cacheblock Address: 7f717d8cf9c0
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08c55	 Cacheblock Address: 7f717d8cf9c0
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08c67	 Cacheblock Address: 7f717d8cf9c0
Micro-op 1: 7f7181c08bda	Micro-op 2: 7f7181c08bdb	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f7181c08bdc	Micro-op 2: 7f71815bea59	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718157f3cb	Micro-op 2: 7f718157f3cd	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7181c0b584	Micro-op 2: 7f718157e29f	 Cacheblock Address: 7f71816b0900
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157e2b4	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f7181c07d46	Micro-op 2: 7f7181c07d5e	 Cacheblock Address: 7f717d8cfe80
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f7181c07daf	 Cacheblock Address: 7fff1ea3f100
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c07db1	 Cacheblock Address: 7fff1ea3f140
