Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/gcc/traces_simp/bin/cc1 Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:21:33 2025

Initialized Ramulator. 
Op1 PC: 7f34ea66b81a	 Op2 PC: 7f34ea66b81a	 Op1 Cacheblock: 7f34ea673880	 Op2 Cacheblock: 7f34ea673880	 Op1 Offset: 52	 Op2 offset: 52	 Op1 base reg: 3	Op2 base reg: 3
Op1 PC: 7f34ea66b8f8	 Op2 PC: 7f34ea66b8f8	 Op1 Cacheblock: 7ffe447c3200	 Op2 Cacheblock: 7ffe447c3200	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b840	 Op2 PC: 7f34ea66b840	 Op1 Cacheblock: 7ffe447c3200	 Op2 Cacheblock: 7ffe447c3200	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b9c0	 Op2 PC: 7f34ea66b9d1	 Op1 Cacheblock: 7ffe447c3200	 Op2 Cacheblock: 7ffe447c3200	 Op1 Offset: 32	 Op2 offset: 40	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b9c0	 Op2 PC: 7f34ea66b9c0	 Op1 Cacheblock: 7ffe447c3200	 Op2 Cacheblock: 7ffe447c3200	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba30	 Op2 PC: 7f34ea66ba34	 Op1 Cacheblock: 7ffe447c3200	 Op2 Cacheblock: 7ffe447c3200	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba30	 Op2 PC: 7f34ea66ba30	 Op1 Cacheblock: 7ffe447c3200	 Op2 Cacheblock: 7ffe447c3200	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b998	 Op2 PC: 7f34ea66b9a8	 Op1 Cacheblock: 7ffe447c3240	 Op2 Cacheblock: 7ffe447c3240	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b998	 Op2 PC: 7f34ea66b998	 Op1 Cacheblock: 7ffe447c3240	 Op2 Cacheblock: 7ffe447c3240	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba70	 Op2 PC: 7f34ea66ba74	 Op1 Cacheblock: 7ffe447c3240	 Op2 Cacheblock: 7ffe447c3240	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba70	 Op2 PC: 7f34ea66ba70	 Op1 Cacheblock: 7ffe447c3240	 Op2 Cacheblock: 7ffe447c3240	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba50	 Op2 PC: 7f34ea66ba54	 Op1 Cacheblock: 7ffe447c3240	 Op2 Cacheblock: 7ffe447c3240	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba50	 Op2 PC: 7f34ea66ba50	 Op1 Cacheblock: 7ffe447c3240	 Op2 Cacheblock: 7ffe447c3240	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba10	 Op2 PC: 7f34ea66ba14	 Op1 Cacheblock: 7ffe447c3280	 Op2 Cacheblock: 7ffe447c3280	 Op1 Offset: 32	 Op2 offset: 40	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66ba10	 Op2 PC: 7f34ea66ba10	 Op1 Cacheblock: 7ffe447c3280	 Op2 Cacheblock: 7ffe447c3280	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b948	 Op2 PC: 7f34ea66b94c	 Op1 Cacheblock: 7ffe447c32c0	 Op2 Cacheblock: 7ffe447c32c0	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b948	 Op2 PC: 7f34ea66b948	 Op1 Cacheblock: 7ffe447c32c0	 Op2 Cacheblock: 7ffe447c32c0	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b828	 Op2 PC: 7f34ea66b828	 Op1 Cacheblock: 7ffe447c3300	 Op2 Cacheblock: 7ffe447c3300	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b920	 Op2 PC: 7f34ea66b932	 Op1 Cacheblock: 7ffe447c3300	 Op2 Cacheblock: 7ffe447c3300	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b920	 Op2 PC: 7f34ea66b920	 Op1 Cacheblock: 7ffe447c3300	 Op2 Cacheblock: 7ffe447c3300	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b9e8	 Op2 PC: 7f34ea66b9ec	 Op1 Cacheblock: 7ffe447c3300	 Op2 Cacheblock: 7ffe447c3300	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b87d	 Op2 PC: 7f34ea66b88f	 Op1 Cacheblock: 7ffe447c2c00	 Op2 Cacheblock: 7ffe447c2c00	 Op1 Offset: 4	 Op2 offset: 5	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f34ea66b884	 Op2 PC: 7f34ea66b896	 Op1 Cacheblock: 7ffe447c2bc0	 Op2 Cacheblock: 7ffe447c2bc0	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f34ea66b8a2	 Op2 PC: 7f34ea66b8a9	 Op1 Cacheblock: 7ffe447c2c00	 Op2 Cacheblock: 7ffe447c2c00	 Op1 Offset: 6	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f34ea66b8b3	 Op2 PC: 7f34ea66b8c6	 Op1 Cacheblock: 7ffe447c2c00	 Op2 Cacheblock: 7ffe447c2c00	 Op1 Offset: 7	 Op2 offset: 22	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f34ea66b9e8	 Op2 PC: 7f34ea66b9e8	 Op1 Cacheblock: 7ffe447c3300	 Op2 Cacheblock: 7ffe447c3300	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea66b87d	 Op2 PC: 7f34ea66b8a2	 Op1 Cacheblock: 7ffe447c2c00	 Op2 Cacheblock: 7ffe447c2c00	 Op1 Offset: 4	 Op2 offset: 6	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f34ea66b8b3	 Op2 PC: 7f34ea66b8cd	 Op1 Cacheblock: 7ffe447c2c00	 Op2 Cacheblock: 7ffe447c2c00	 Op1 Offset: 7	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f34ea66b8d9	 Op2 PC: 7f34ea66b8e4	 Op1 Cacheblock: 7ffe447c2c00	 Op2 Cacheblock: 7ffe447c2c00	 Op1 Offset: 23	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f34ea669096	 Op2 PC: 7f34ea6690b8	 Op1 Cacheblock: 7ffe447c3980	 Op2 Cacheblock: 7ffe447c3980	 Op1 Offset: 19	 Op2 offset: 20	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f34ea669138	 Op2 PC: 7f34ea66913e	 Op1 Cacheblock: 7f34ea67c8c0	 Op2 Cacheblock: 7f34ea67c8c0	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 9	Op2 base reg: 9
Op1 PC: 7f34ea669138	 Op2 PC: 7f34ea669138	 Op1 Cacheblock: 7f34ea67c900	 Op2 Cacheblock: 7f34ea67c900	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 9	Op2 base reg: 9
Op1 PC: 7f34ea669147	 Op2 PC: 7f34ea669147	 Op1 Cacheblock: 7f34ea674c00	 Op2 Cacheblock: 7f34ea674c00	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 11	Op2 base reg: 11
Op1 PC: 7f34ea669174	 Op2 PC: 7f34ea669174	 Op1 Cacheblock: 7ffe447c3980	 Op2 Cacheblock: 7ffe447c3980	 Op1 Offset: 19	 Op2 offset: 19	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f34ea669096	 Op2 PC: 7f34ea66911b	 Op1 Cacheblock: 7ffe447c3980	 Op2 Cacheblock: 7ffe447c3980	 Op1 Offset: 36	 Op2 offset: 19	 Op1 base reg: 2	Op2 base reg: 1
Op1 PC: 7f34ea669065	 Op2 PC: 7f34ea669122	 Op1 Cacheblock: 7f34ea67ce40	 Op2 Cacheblock: 7f34ea67ce40	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea669089	 Op2 PC: 7f34ea669089	 Op1 Cacheblock: 7ffe447c30c0	 Op2 Cacheblock: 7ffe447c30c0	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 14	Op2 base reg: 14
