Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:08:14 2025

Initialized Ramulator. 
Op1 PC: 7ffff7dc2096	 Op2 PC: 7ffff7dc2096	 Op1 Cacheblock: 7fffffffe200	 Op2 Cacheblock: 7fffffffe200	 Op1 Offset: 47	 Op2 offset: 47	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7ffff7dc2122	 Op2 PC: 7ffff7dc2122	 Op1 Cacheblock: 7ffff7dd5e40	 Op2 Cacheblock: 7ffff7dd5e40	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7dc2164	 Op2 PC: 7ffff7dc2164	 Op1 Cacheblock: 7ffff7dcdcc0	 Op2 Cacheblock: 7ffff7dcdcc0	 Op1 Offset: 45	 Op2 offset: 45	 Op1 base reg: 6	Op2 base reg: 6
Op1 PC: 7ffff7dc219f	 Op2 PC: 7ffff7dc21a0	 Op1 Cacheblock: 7fffffffc940	 Op2 Cacheblock: 7fffffffc940	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc21a2	 Op2 PC: 7ffff7dc21a4	 Op1 Cacheblock: 7fffffffc940	 Op2 Cacheblock: 7fffffffc940	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc21a6	 Op2 PC: 7ffff7dc21a8	 Op1 Cacheblock: 7fffffffc940	 Op2 Cacheblock: 7fffffffc940	 Op1 Offset: 32	 Op2 offset: 40	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc43c5	 Op2 PC: 7ffff7dc43d7	 Op1 Cacheblock: 7ffff7dd56c0	 Op2 Cacheblock: 7ffff7dd56c0	 Op1 Offset: 52	 Op2 offset: 52	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7dc4715	 Op2 PC: 7ffff7dc4715	 Op1 Cacheblock: 7fffffffca80	 Op2 Cacheblock: 7fffffffca80	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 7	Op2 base reg: 7
Op1 PC: 7ffff7dc4755	 Op2 PC: 7ffff7dc4755	 Op1 Cacheblock: 7fffffffd2c0	 Op2 Cacheblock: 7fffffffd2c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7ffff7dc2065	 Op2 PC: 7ffff7dc47b4	 Op1 Cacheblock: 7ffff7dd5e40	 Op2 Cacheblock: 7ffff7dd5e40	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0
