Scarab gitrev: 3faa0e4
Failed to load binaries: Failed to map module /simpoint_traces/postgres/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 02:39:19 2025

Initialized Ramulator. 
Op1 PC: 7f718187739d	 Op2 PC: 7f718187739d	 Op1 Cacheblock: 7f718189ad00	 Op2 Cacheblock: 7f718189ad00	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 13	Op2 base reg: 13
Op1 PC: 7f71818773b3	 Op2 PC: 7f71818773b3	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818773b7	 Op2 PC: 7f71818773b7	 Op1 Cacheblock: 7f718186ca40	 Op2 Cacheblock: 7f718186ca40	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f7181877842	 Op2 PC: 7f71818773c8	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 13
Op1 PC: 7f71818773d4	 Op2 PC: 7f71818773d4	 Op1 Cacheblock: 7f717e176f80	 Op2 Cacheblock: 7f717e176f80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f71818773d7	 Op2 PC: 7f71818773d7	 Op1 Cacheblock: 7f717e174940	 Op2 Cacheblock: 7f717e174940	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 14	Op2 base reg: 14
Op1 PC: 7f71818774d4	 Op2 PC: 7f71818774d4	 Op1 Cacheblock: 7f718189b440	 Op2 Cacheblock: 7f718189b440	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 10	Op2 base reg: 10
Op1 PC: 7f7181877450	 Op2 PC: 7f7181877450	 Op1 Cacheblock: 7f717e174940	 Op2 Cacheblock: 7f717e174940	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 14	Op2 base reg: 14
Op1 PC: 7f718188c788	 Op2 PC: 7f718188c788	 Op1 Cacheblock: 7f717e91e980	 Op2 Cacheblock: 7f717e91e980	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 6	Op2 base reg: 6
Op1 PC: 7f7181877545	 Op2 PC: 7f7181877545	 Op1 Cacheblock: 7f718189aa40	 Op2 Cacheblock: 7f718189aa40	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f7181877454	 Op2 PC: 7f7181877454	 Op1 Cacheblock: 7f717e176f40	 Op2 Cacheblock: 7f717e176f40	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f718188b9c4	 Op2 PC: 7f718188b9f0	 Op1 Cacheblock: 7f718186c9c0	 Op2 Cacheblock: 7f718186c9c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7
